Number of Steps,Distance Traveled,X Position,Y Position
111,6.926354832649231,-3.6798798833797477,-1.790883638246828
112,6.984309763908386,-3.726797868271614,-1.8310977072467765
113,7.048354935646057,-3.7725256969207956,-1.871566592056401
114,7.123268866539002,-3.8176442469005814,-1.9129237661657124
115,7.199844861030579,-3.8624462062613105,-1.9555746879646438
116,7.27808304309845,-3.9069558099594226,-1.9995324704797546
117,7.355559859275818,-3.9511462739460486,-2.0448584000067713
118,7.432411522865295,-3.99493417808661,-2.0915021553205766
119,7.508989262580871,-4.038340505256539,-2.139331221540121
120,7.582161316871643,-4.0814114700473105,-2.188224840515715
121,7.65726438999176,-4.1241067758114545,-2.2379501252424987
122,7.731500201225281,-4.16646460964981,-2.2885576240954215
123,7.804927821159363,-4.208539170187928,-2.339908493158256
124,7.878656964302063,-4.25028262116191,-2.3919587509365305
125,7.952960190773011,-4.291683998478666,-2.4447057660209746
126,8.02600447177887,-4.332737352184342,-2.4981593553059196
127,8.097549929618836,-4.3733657705958935,-2.5522726649255896
128,8.16778172969818,-4.413475061987442,-2.6070006422069083
129,8.236252722740174,-4.4530914286757195,-2.6622258054397974
130,8.303256611824036,-4.492217466117221,-2.717828843180103
131,8.371611266136169,-4.530778373489987,-2.773597565690961
132,8.439340863227844,-4.568805180187046,-2.8297635782047945
133,8.506417317390442,-4.606312773940219,-2.8862551413361754
134,8.57512421131134,-4.643130468365591,-2.943032660568577
135,8.643230814933776,-4.679403595767223,-3.0002180153180245
136,8.710419239997863,-4.715146564751574,-3.0577579084933286
137,8.780396656990051,-4.750190805894359,-3.1156038868878495
138,8.849523177146912,-4.784686817205335,-3.173908013688662
139,8.918256278038026,-4.818652144010938,-3.232598807007287
140,8.986506514549255,-4.852122389459098,-3.291623779833277
141,9.057015042304993,-4.885140624570765,-3.3509243385887237
142,9.127742943763733,-4.917674878895935,-3.410634546984199
143,9.198281064033509,-4.949806741437215,-3.4707094791457354
144,9.269017901420593,-4.981615498900685,-3.531085665565267
145,9.339421792030334,-5.013195226899988,-3.5917157056108184
146,9.409965109825134,-5.044639839902996,-3.6525252879179955
147,9.47932150363922,-5.075923641046741,-3.713529185152036
148,9.548850789070128,-5.107152511741794,-3.7746038806509246
149,9.618443255424497,-5.138459301702835,-3.835688562051364
150,9.685565609931944,-5.169977532727436,-3.8967153902972895
151,9.751387257575987,-5.201566414532163,-3.957370700662122
152,9.809378046989439,-5.233305888472491,-4.017395728433388
153,9.871211895942686,-5.265163947187014,-4.076278841688824
154,9.937039227485656,-5.297078469906129,-4.134047239105423
155,10.003515524864197,-5.3295108271314575,-4.191489255181222
156,10.069079775810241,-5.362538762815974,-4.248618964202074
157,10.133492512702942,-5.396135710111451,-4.305321861596789
158,10.196501069068908,-5.430193585968273,-4.361416477764224
159,10.259043622016907,-5.464574053065755,-4.416729031147054
160,10.315696911811829,-5.499267118149111,-4.471264397182165
161,10.371196737289429,-5.533924423592362,-4.52469242594639
162,10.425733723640443,-5.568503223531054,-4.577035206153156
163,10.479305968284606,-5.602962604014946,-4.628314801611744
164,10.533172430992126,-5.637259118901193,-4.6785561138074225
165,10.587389597892761,-5.6713436907469665,-4.7277890877104145
166,10.643723959922792,-5.705159429923775,-4.776050373602158
167,10.700639367103577,-5.739018561699321,-4.823676942227941
168,10.757411131858825,-5.7730048148919195,-4.870856965433654
169,10.813631558418274,-5.807029398608197,-4.917686523601337
170,10.867576088905334,-5.840915318113991,-4.964225434528406
171,10.92108114719391,-5.874222152032065,-5.010332868398896
172,10.975904116630554,-5.906834891349455,-5.056148329695522
173,11.033837370872497,-5.939007443491854,-5.101945574331637
174,11.095824837684631,-5.970897284347763,-5.148053769687938
175,11.156996665000916,-6.002511347392581,-5.194692278468747
176,11.222344660758973,-6.033719308873885,-5.2418789967863075
177,11.289851717948913,-6.064524510417934,-5.289826326453186
178,11.36086609363556,-6.094889887994139,-5.3386433191141744
179,11.430712208747863,-6.124825363030903,-5.388476797840622
180,11.501270413398743,-6.1542651542158495,-5.439249527846928
181,11.56782663822174,-6.183101302566689,-5.491014436198757
182,11.634100518226624,-6.21125374834152,-5.543548559391224
183,11.700347018241883,-6.238620495700826,-5.596853094658993
184,11.766268725395204,-6.265242946785734,-5.650868859347445
185,11.831955428123475,-6.291160867297083,-5.705526388245174
186,11.896816382408142,-6.316422787626277,-5.760761963478897
187,11.961716494560243,-6.3410753817484276,-5.816486599777647
188,12.026300530433655,-6.365052600919678,-5.872710219865888
189,12.091384015083314,-6.388294414547537,-5.929419714807806
190,12.156982369422913,-6.41076276804539,-5.986634043972615
191,12.222897362709046,-6.43241979229073,-6.04437019431516
192,12.290028309822082,-6.453218777708881,-6.102635620395574
193,12.35793860912323,-6.4732614401972475,-6.161430056175699
