Number of Steps,Distance Traveled,X Position,Y Position
1,0.060099725723266606,0.7,0.0
2,0.12022977828979492,0.6994284523332508,-9.102782128399727e-07
3,0.18029017448425294,0.6979059058726287,-3.335169349258686e-06
4,0.24054840087890625,0.6954323606181337,-7.27467340925614e-06
5,0.30085412979125975,0.6920078179760994,-1.3549981551296358e-05
6,0.3607680034637451,0.6876322832264544,-2.4476194521281313e-05
7,0.4205519390106201,0.6823057727508711,-4.4574001839999883e-05
8,0.48085649490356447,0.6760416281257619,-0.00045458122732503045
9,0.5408096981048585,0.6688184962686556,-0.0007343633299844544
10,0.5966351795196533,0.6606595036372523,-0.0013138899744929654
11,0.6527231502532959,0.6515425197347188,-0.0018114022384722415
12,0.7091149711608887,0.6414836257107465,-0.002486879097614578
13,0.765797643661499,0.6304741456799997,-0.0031999523520619784
14,0.8216173362731933,0.6185193831932785,-0.004030064356901876
15,0.8772751998901367,0.6056167237270196,-0.004937765184890571
16,0.9328096008300781,0.591769571522069,-0.0059696711637391145
17,0.9888206100463868,0.5769755566906096,-0.007092299037831054
18,1.0444385719299316,0.5612386780136911,-0.008356155725099157
19,1.1001956272125244,0.5445562496253625,-0.009725675833447743
20,1.1552507257461548,0.5269328765147682,-0.011254349279457832
21,1.210195508003235,0.508365638064806,-0.012905924492059054
22,1.2642370605468751,0.4888597249034399,-0.014735711398438411
23,1.3177889442443849,0.46841201230940577,-0.016707346276951147
24,1.3712586450576782,0.4470282912619435,-0.018877391582373268
25,1.4244684648513795,0.4247156354237614,-0.02130702981696316
26,1.4778175830841065,0.4014709915854776,-0.023959993702197226
27,1.5308599090576172,0.3773018202961564,-0.026893520210232894
28,1.584060001373291,0.3522047068338988,-0.03007170373063304
29,1.6375237941741945,0.3261753806410648,-0.03345703541522438
30,1.6921046113967897,0.2992091589743866,-0.03701207714945231
31,1.7476504182815553,0.27131400585192456,-0.04079543637424196
32,1.8034374570846559,0.24248535448631156,-0.044771487081944505
33,1.8597795629501344,0.21273158919672647,-0.048998674790509136
34,1.9164759397506714,0.18204787007690237,-0.053440453020877854
35,1.973115029335022,0.15044292705912626,-0.058154340986881735
36,2.0300259256362914,0.11791160786990916,-0.06310291520205362
37,2.08793053150177,0.08446302773169412,-0.06834298731339641
38,2.1458491182327273,0.050107086908162186,-0.07393179355136126
39,2.2045591497421264,0.014838829853694287,-0.07983296524996443
40,2.2629028844833377,-0.021330900830923975,-0.08610524755543192
41,2.321667447090149,-0.05840716524748087,-0.09271338814653092
42,2.3812306356430053,-0.09639559924814162,-0.0996221182307427
43,2.4408481454849245,-0.13528503681113874,-0.10688895256721105
44,2.5011405897140504,-0.17508181630608077,-0.1144760432554634
45,2.561704955101013,-0.21576414867294608,-0.12243750303025122
46,2.6225128602981567,-0.25730767809365207,-0.13072822976870604
47,2.6834474325180055,-0.29966894555311346,-0.13940021040787237
48,2.744792399406433,-0.342799328993022,-0.14850630438685034
49,2.806508460044861,-0.3866859668774333,-0.15800154841805067
50,2.869074378013611,-0.4312924781169698,-0.16794608794885782
51,2.9311557149887086,-0.4766286183817341,-0.17830023001551537
52,2.993876280784607,-0.5226171040389366,-0.1891203272515609
53,3.0566571283340456,-0.5692610736053243,-0.20036448432674883
54,3.1198720502853394,-0.6165102893765013,-0.21209616297348127
55,3.1831756734848025,-0.6643605626135397,-0.22427096390533705
